mz	intensity	formula
116.0352989	7590949	C4H7NO3
132.0302213	17078988	C4H7NO4
135.0298912	26099575	C4H8O5
140.0353025	4941822	C6H7NO3
144.0302267	4782798	C5H7NO4
145.0142433	3185845	C5H6O5
146.0458817	16701953	C5H9NO4
149.0455495	351383787	C5H10O5
152.0353175	22970005	C7H7NO3
156.030235	4960104	C6H7NO4
158.045885	15865057	C6H9NO4
161.045554	13436612	C6H10O5
166.0509775	3551016	C8H9NO3
168.0302391	60780444	C7H7NO4
168.0666243	14116090	C8H11NO3
170.045892	29733311	C7H9NO4
172.0251533	3597434	C6H7NO5
172.0615413	8126425	C7H11NO4
174.0408114	12615138	C6H9NO5
176.056456	7411689	C6H11NO5
177.0404679	7952268	C6H10O6
180.066628	5346759	C9H11NO3
181.06187	4645555	C8H10N2O3
182.045886	10000792	C8H9NO4
184.0251583	78634835	C7H7NO5
184.0615365	7621812	C8H11NO4
185.0455488	3986997	C8H10O5
186.0408055	17531828	C7H9NO5
186.077178	5129489	C8H13NO4
188.0200667	9351844	C6H7NO6
188.0564495	36995755	C7H11NO5
189.0404516	7455261	C7H10O6
190.072082	3268159	C7H13NO5
191.0561037	5895764	C7H12O6
192.0513667	4994153	C6H11NO6
192.0666133	11217686	C10H11NO3
194.045881	26472927	C9H9NO4
196.025147	5564235	C8H7NO5
196.061525	17016998	C9H11NO4
197.05678	8993455	C8H10N2O4
198.0407953	10351114	C8H9NO5
198.0771794	11715771	C9H13NO4
199.036048	4355259	C7H8N2O5
200.0564457	12745584	C8H11NO5
201.0404525	3549042	C8H10O6
202.035705	7359009	C7H9NO6
202.0720888	6308733	C8H13NO5
203.0561062	6850259	C8H12O6
204.0513633	26493825	C7H11NO6
206.0458682	3858997	C10H9NO4
206.067007	664397035	C7H13NO6
207.0510235	10250299	C7H12O7
208.0615265	16569923	C10H11NO4
209.0567967	3152970	C9H10N2O4
210.0407925	36191481	C9H9NO5
210.0771752	8858199	C10H13NO4
211.07243	4286219	C9H12N2O4
212.0564457	377743648	C9H11NO5
214.0357017	4438320	C8H9NO6
215.0561128	3995122	C9H12O6
216.0513583	11967496	C8H11NO6
216.0877387	4458852	C9H15NO5
217.04662	3981515	C7H10N2O6
218.030626	10117860	C7H9NO7
218.0670085	21503382	C8H13NO6
219.0510269	9877086	C8H12O7
220.046274	5063468	C7H11NO7
220.0615169	4794159	C11H11NO4
220.0826613	9247198	C8H15NO6
222.0407754	5567360	C10H9NO5
222.0619238	15944580	C7H13NO7
222.0771571	8482354	C11H13NO4
224.0564192	24038719	C10H11NO5
224.0775774	431201600	C7H15NO7
225.051704	6500217	C9H10N2O5
226.03571	3818080	C9H9NO6
226.0720767	56194152	C10H13NO5
227.0560843	5907797	C10H12O6
227.0673525	6096557	C9H12N2O5
228.0513373	17572084	C9H11NO6
228.087729	14320552	C10H15NO5
230.0669954	18434125	C9H13NO6
231.0510141	4354726	C9H12O7
232.0462767	4279562	C8H11NO7
233.0666527	4020604	C9H14O7
234.0619246	11691843	C8H13NO7
236.0564487	8668905	C11H11NO5
236.0775783	9381615	C8H15NO7
237.0516933	5292743	C10H10N2O5
237.088069	4030162	C11H14N2O4
238.0357183	5143551	C10H9NO6
238.0720904	30791349	C11H13NO5
240.0513661	16887448	C10H11NO6
240.0877437	20703566	C11H15NO5
241.0466333	3788781	C9H10N2O6
241.0829967	3544228	C10H14N2O5
242.0670137	58345129	C10H13NO6
243.0510282	7671481	C10H12O7
243.062268	5577746	C9H12N2O6
244.0462833	5863125	C9H11NO7
244.0826585	13717218	C10H15NO6
245.0666719	8939610	C10H14O7
245.0779178	17264734	C9H14N2O6
246.0619333	6780724	C9H13NO7
246.0983119	4589036	C10H17NO6
248.0564467	8540761	C12H11NO5
248.07758	8533944	C9H15NO7
249.0615911	6049789	C9H14O8
249.0880975	6042632	C12H14N2O4
250.0721073	10127445	C12H13NO5
250.0932346	32868446	C9H17NO7
251.067344	11111600	C11H12N2O5
252.0513573	9223778	C11H11NO6
252.072486	21444203	C8H15NO8
252.0877521	15070834	C12H15NO5
253.0565073	4974971	C8H14O9
253.0829986	6002055	C11H14N2O5
254.0670168	60185075	C11H13NO6
255.051034	5900220	C11H12O7
256.04628	5812624	C10H11NO7
256.0826685	30610167	C11H15NO6
257.0666847	5956131	C11H14O7
257.0779238	13470248	C10H14N2O6
258.0619377	14874287	C10H13NO7
258.0983155	60716735	C11H17NO6
259.0459455	3772220	C10H12O8
259.0571733	4635116	C9H12N2O7
260.0564608	4184028	C13H11NO5
260.0775848	18289980	C10H15NO7
262.0568567	4264910	C9H13NO8
262.0721067	6311211	C13H13NO5
262.0932321	6507489	C10H17NO7
263.067422	7451434	C12H12N2O5
264.051353	8332584	C12H11NO6
264.07245	3741149	C9H15NO8
264.0877573	8621370	C13H15NO5
265.0830183	8612333	C12H14N2O5
266.0670219	30516895	C12H13NO6
266.0881445	28149419	C9H17NO8
266.1033952	4434952	C13H17NO5
267.0721645	8999094	C9H16O9
267.0986593	5085722	C12H16N2O5
268.046268	8514923	C11H11NO7
268.0826729	30673619	C12H15NO6
269.0779289	14858135	C11H14N2O6
270.0619465	46720088	C11H13NO7
270.0983215	9349570	C12H17NO6
272.0775845	25989972	C11H15NO7
273.0616013	4479348	C11H14O8
273.0728471	4181712	C10H14N2O7
274.0568767	4906568	C10H13NO8
274.0721075	4468645	C14H13NO5
274.0932446	12863409	C11H17NO7
275.0772746	3677995	C11H16O8
277.0565085	4973100	C10H14O9
277.082975	8643472	C13H14N2O5
277.119365	6137424	C14H18N2O4
278.06702	14895888	C13H13NO6
278.0881504	9765660	C10H17NO8
279.06227	6696941	C12H12N2O6
279.0986515	8386562	C13H16N2O5
280.04628	8002757	C12H11NO7
280.0826658	21274500	C13H15NO6
280.10378	5062203	C10H19NO8
281.0302927	3939401	C12H10O8
281.0779233	17569550	C12H14N2O6
282.0619306	27120615	C12H13NO7
282.08307	5200542	C9H17NO9
282.0983112	14371153	C13H17NO6
283.0935619	11200050	C12H16N2O6
285.0364533	4024621	C10H10N2O8
285.0728483	6152173	C11H14N2O7
285.0827188	14604957	C9H18O10
285.1092127	4558167	C12H18N2O6
286.05685	6780785	C11H13NO8
286.0932275	19818373	C12H17NO7
287.0884729	5855334	C11H16N2O7
288.0724883	11029481	C11H15NO8
288.1088727	6237523	C12H19NO7
289.082988	7038501	C14H14N2O5
290.0670113	6317479	C14H13NO6
290.0881482	18744755	C11H17NO8
291.0622733	4608301	C13H12N2O6
292.0826639	11345088	C14H15NO6
293.077905	13114434	C13H14N2O6
293.1142937	5869313	C14H18N2O5
294.0619433	11245159	C13H13NO7
294.0830633	15085171	C10H17NO9
294.0983204	9931728	C14H17NO6
295.057204	3679376	C12H12N2O7
295.0670762	7684246	C10H16O10
295.0935656	15817551	C13H16N2O6
296.0776025	23985519	C13H15NO7
296.0986943	5864827	C10H19NO9
297.0728225	9600232	C12H14N2O7
297.1092182	9479419	C13H18N2O6
298.0568333	15577516	C12H13NO8
298.0932352	34841024	C13H17NO7
299.0885056	18519004	C12H16N2O7
300.0724983	140715504	C12H15NO8
300.1088839	8713732	C13H19NO7
301.08299	4466361	C15H14N2O5
301.1041455	3664238	C12H18N2O7
302.0670175	3551428	C15H13NO6
302.0881354	87708877	C12H17NO8
303.0833822	11936135	C11H16N2O8
304.082679	6986642	C15H15NO6
304.1037913	7108167	C12H19NO8
305.1143106	6459475	C15H18N2O5
306.061918	5476239	C14H13NO7
306.08305	20984388	C11H17NO9
306.0983176	6477047	C15H17NO6
307.06708	5314617	C11H16O10
307.0935719	19914481	C14H16N2O6
308.0775905	21755445	C14H15NO7
308.098694	14807275	C11H19NO9
309.0615973	3984416	C14H14O8
309.0728167	7550331	C13H14N2O7
309.1092195	11510498	C14H18N2O6
310.0568267	5579275	C13H13NO8
310.0932373	16972317	C14H17NO7
311.0884994	12699309	C13H16N2O7
311.0983672	8046941	C11H20O10
312.0725017	11626632	C13H15NO8
312.1088847	7255535	C14H19NO7
313.1042094	9581855	C13H18N2O7
314.0881273	18414661	C13H17NO8
315.0833567	6540139	C12H16N2O8
315.0932782	9090586	C10H20O11
315.0986788	4579186	C16H16N2O5
316.067426	9942320	C12H15NO9
316.0826727	3950561	C16H15NO6
316.1038004	19708566	C13H19NO8
317.07789	5328636	C15H14N2O6
317.087809	4265729	C13H18O9
317.0990333	11332698	C12H18N2O8
317.1142974	6813452	C16H18N2O5
318.083061	57095019	C12H17NO9
318.0983228	4490780	C16H17NO6
319.093545	10481621	C15H16N2O6
320.0986915	233873808	C12H19NO9
321.07281	6322993	C14H14N2O7
321.1091975	17310528	C15H18N2O6
322.0779433	4180189	C11H17NO10
322.09323	19539171	C15H17NO7
322.114365	10676801	C12H21NO9
323.0884643	11365338	C14H16N2O7
324.07248	11187569	C14H15NO8
324.1088775	8694485	C15H19NO7
325.1041317	10758591	C14H18N2O7
326.0881493	12442441	C14H17NO8
327.08336	5719932	C13H16N2O8
328.0674	4666618	C13H15NO9
329.099064	7299032	C13H18N2O8
330.0830525	9242952	C13H17NO9
330.1194533	8078337	C14H21NO8
331.078205	4680374	C12H16N2O9
331.09352	6794599	C16H16N2O6
332.077573	5021727	C16H15NO7
332.0986743	10473169	C13H19NO9
333.0728233	4349653	C15H14N2O7
